PCAS,logKdoc,Category,CrippenLogP,SlogP_VSA1,ErGFP285_RDKit,FCFPs2048_1787_RDKit,RDKFP97_RDKit,RDKFP1999_RDKit,ExtFP215,SECFP1727_RDKit,ExtFP979,RDKFP870_RDKit,SECFP1805_RDKit,PharmFP16632_RDKit,SECFP617_RDKit,MATS2m,PatternFP730_RDKit,PatternFP654_RDKit,FuncFP3064_RDKit,SECFP1315_RDKit,RDKFP1925_RDKit,FuncFP2428_RDKit,GraphFP554,RDKFP834_RDKit,Mor29m_R,PatternFP1783_RDKit,RDKFP629_RDKit,ECFPs1024_998_RDKit,RDKFP2034_RDKit
p000044,4.699,2,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000044,4.204,2,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000044,4.505,2,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000044,4.89,3,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000044,4.42,3,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000044,4.716,3,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000044,5,3,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000044,4.87,4,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000044,3.71,4,3.993,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,-0.068,0,0,0,0
p000045,4.94,1,4.47659,0,0,0,0,0,0,0,0,0,0,0,0,0.247592911,0,0,0,0,0,0,1,0,0.15,0,0,1,0
p000045,4.63,1,4.47659,0,0,0,0,0,0,0,0,0,0,0,0,0.247592911,0,0,0,0,0,0,1,0,0.15,0,0,1,0
p000045,4.84,3,4.47659,0,0,0,0,0,0,0,0,0,0,0,0,0.247592911,0,0,0,0,0,0,1,0,0.15,0,0,1,0
p000045,5.16,4,4.47659,0,0,0,0,0,0,0,0,0,0,0,0,0.247592911,0,0,0,0,0,0,1,0,0.15,0,0,1,0
p000046,3.36,3,2.9767,0,0,0,0,0,0,0,0,0,0,0,0,-0.232355442,0,0,0,0,0,0,0,0,-0.09,0,0,0,0
p000046,4.08,3,2.9767,0,0,0,0,0,0,0,0,0,0,0,0,-0.232355442,0,0,0,0,0,0,0,0,-0.09,0,0,0,0
p000047,2,3,1.77139,4.736862954,0,0,0,0,0,0,0,0,0,0,0,0.007234752,0,0,0,0,0,0,0,0,0.158,0,0,0,0
p000048,5.62,1,6.3282,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,0,0,1,0,-0.119,1,0,0,0
p000048,5.58,1,6.3282,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,0,0,1,0,-0.119,1,0,0,0
p000048,4.88,1,6.3282,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,0,0,1,0,-0.119,1,0,0,0
p000048,5.31,1,6.3282,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,0,0,1,0,-0.119,1,0,0,0
p000048,7.03,2,6.3282,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,0,0,1,0,-0.119,1,0,0,0
p000048,7.43,3,6.3282,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,0,0,1,0,-0.119,1,0,0,0
p000048,7.29,3,6.3282,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,0,0,1,0,-0.119,1,0,0,0
p000048,5.76,4,6.3282,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,0,0,1,0,-0.119,1,0,0,0
p000049,5.47,1,5.7372,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.123,1,0,0,0
p000049,4.93,1,5.7372,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.123,1,0,0,0
p000049,5.14,1,5.7372,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.123,1,0,0,0
p000049,5.74,1,5.7372,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.123,1,0,0,0
p000049,6.6,1,5.7372,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.123,1,0,0,0
p000049,6.23,1,5.7372,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.123,1,0,0,0
